EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
251143,MIAMI-DADE CO.,SOUTH MIAMI,07/15/2010,2217,Thunderstorm Wind,50.00, ,0,0,0,0,FL,EST-5,EG,43056,C,86,MFL,0,0,Trained Spotter, , , ,0,W,0,W,SOUTH MIAMI,07/15/2010,2217,25.6997,-80.2852,25.6997,-80.2852,"A spotter reported power lines down along SW 57 Ave at the SW 77 ST block.","Thunderstorms moved from the Atlantic waters and Biscayne Bay into Miami-Dade County blowing down trees and causing power outages.",1
251144,MIAMI-DADE CO.,CORAL WAY VLG,07/15/2010,2221,Thunderstorm Wind,50.00, ,0,0,0,0,FL,EST-5,EG,43056,C,86,MFL,0,0,Trained Spotter, , , ,2,SSE,2,SSE,CORAL WAY VLG,07/15/2010,2221,25.7265,-80.2862,25.7265,-80.2862,"A spotter reported trees down along Grand Ave near the University of Miami and near the intersection of Red and Blue Roads.","Thunderstorms moved from the Atlantic waters and Biscayne Bay into Miami-Dade County blowing down trees and causing power outages.",2
251142,MIAMI-DADE CO.,MIAMI LAKE,07/15/2010,2225,Thunderstorm Wind,50.00, ,0,0,0,0,FL,EST-5,EG,43056,C,86,MFL,0,0,Public, , , ,1,NE,1,NE,MIAMI LAKE,07/15/2010,2225,25.925,-80.2933,25.925,-80.2933,"Tree damage was reported around the intersection of NW 57th Ave and the Palmetto Expressway.","Thunderstorms moved from the Atlantic waters and Biscayne Bay into Miami-Dade County blowing down trees and causing power outages.",3
251145,MIAMI-DADE CO.,BISCAYNE PARK,07/15/2010,2247,Thunderstorm Wind,57.00, ,0,0,0,0,FL,EST-5,MG,43056,C,86,MFL,0,0,Mesonet, , , ,3,SSW,3,SSW,BISCAYNE PARK,07/15/2010,2247,25.735,-80.1623,25.735,-80.1623,"KVIK mesonet on Virginia Key recorded a gust of 57 Knots with a passing thunderstorm.","Thunderstorms moved from the Atlantic waters and Biscayne Bay into Miami-Dade County blowing down trees and causing power outages.",4
251195,COASTAL MIAMI-DADE COUNTY (ZONE), ,07/20/2010,700,Rip Current, , ,0,0,0,0,FL,EST-5, ,43060,Z,173,MFL,0,0,Newspaper, , , , , , , , ,07/22/2010,1900, , , , ,"Miami Beach Ocean Rescue saved the lives of 66 people during the period of July 20 through the 22nd. No serious injuries were reported. 2 children were also rescued at Haulover Beach.","Life guards rescued over 200 people along the Atlantic coast of South Florida during this late July week. The rip currents were created by persistent and strong east winds caused by high pressure north and east of the area. Wind gusts up to 44 MPH were noted during this event which peaked between July 20th and 22nd. These winds also caused rough seas on the local Atlantic waters.",5
251890,COASTAL MIAMI-DADE COUNTY (ZONE), ,07/23/2010,530,Tropical Storm, , ,0,0,2000,0,FL,EST-5, ,43124,Z,173,MFL,0,0,Mesonet, , , , , , , , ,07/23/2010,1300, , , , ,"Tropical Storm Bonnie made landfall near Cutler Bay in southern Miami-Dade County during the late morning of July 23rd. Maximum sustained winds were near 40 mph as the storm made landfall. Minimum central pressure was 1008 mb. Effects over south Florida were minimal, with the only areas experiencing sustained tropical storm force winds right along the coast in Virginia Key south of downtown Miami. Highest wind gusts over most of Miami-Dade County were in the 40 to 45 mph range. ||Widely scattered power outages were the primary impact (about 14,000 customers), along with negligible damage to newly planted small to medium sized trees and downed power lines. ||Rainfall associated with the storm was also relatively minor, with maximum storm total amounts of 2.5 to 3.25 inches over central and northern Miami-Dade County. Minor urban flooding was the result. Highest storm surge was 0.92 feet at Virginia Key at 806 AM EDT. No significant coastal flooding or beach erosion was noted.","Tropical Storm Bonnie made landfall in Miami-Dade County during the afternoon of July 23rd with marginal tropical storm conditions along the coast of Biscayne Bay. Wind gusts of 30 to 40 knots were common across the southeast coast metro area along with rainfall totals of 2 to 3.25 inches in Miami-Dade County.",6
266376,COASTAL MIAMI-DADE COUNTY (ZONE), ,11/13/2010,1200,Rip Current, , ,0,1,0,0,FL,EST-5, ,45926,Z,173,MFL,0,0,Newspaper, , , , , , , , ,11/13/2010,1200, , , , ,"About a dozen people had to be rescued from the surf in Miami Beach as rip currents caused by rough surf and large swells pounded the beaches. A swimmer broke an ankle before being rescued by lifeguards near First Street.","Large swells from a distant storm in the Atlantic Ocean led to large, breaking waves along the southeast Florida coast, most notably along the Palm Beach County coast.",7
266377,COASTAL MIAMI-DADE COUNTY (ZONE), ,11/29/2010,1200,Rip Current, , ,1,2,0,0,FL,EST-5, ,45927,Z,173,MFL,0,0,Broadcast Media, , , , , , , , ,11/29/2010,1200, , , , ,"A tourist drowned and two others were injured in rip currents off 5th street and Ocean Drive. The victims were students of New York University who were taking a last swim before heading back to New York. Miami Beach Ocean Rescue were able to save three of the four swimmers. Time is estimated.","Moderate easterly winds caused the formation of rip currents along the southeast Florida coast.",8
267651,INLAND MIAMI-DADE (ZONE), ,12/08/2010,600,Frost/Freeze, , ,0,0,0,0,FL,EST-5, ,46169,Z,73,MFL,0,0,Mesonet, , , , , , , , ,12/08/2010,700, , , , ,"A light freeze was reported across inland sections of Broward and Miami-Dade counties with isolated areas hitting the 32 mark during the morning of the 8th, however most locations remained in the mid 30s.","The first of three intrusions of modified arctic air into South Florida occurred from December 6th through the 9th with the coldest mornings occurring on the 7th and 8th. Record low temperatures and the earliest freeze dates were rivaled across the area with temperatures for early December the coldest since 1937. This set-up the area for the coldest December on record and for one of the coldest months in recent memory. Significant crop damage was also reported during this event. A total of crop damage for the three December freeze events will be included in the event narratives for the late December freeze.",9
267701,INLAND MIAMI-DADE (ZONE), ,12/14/2010,300,Frost/Freeze, , ,0,0,0,0,FL,EST-5, ,46176,Z,73,MFL,0,0,Mesonet, , , , , , , , ,12/15/2010,800, , , , ,"Temperatures across inland sections of Miami-Dade and Broward Counties fell into the upper 20s to low 30s during the mornings of the 14th and 15th. Some of the lowest temperatures observed: 29 at the Miccosukee Service Plaza on Interstate 75, 30 at the Alligator Alley BSO, 31 near the Royal Palm Ranger Station, and 32 in the Redland, however growers reported temperatures down to 26 in the Homestead and Florida City area. The tomato, beans, squash, zucchini, and pepper crops took significant damage.","The second of three intrusions of modified arctic air into South Florida during December occurred from the 13th through the 16th with the coldest mornings occurring on the 14th and 15th. Average temperatures during the period of 20 degrees or more below normal occurred along with a widespread freeze. This event was the coldest for mid December in nearly 50 years, colder than the early December event, and significant crop damage occurred once again with citrus, snap beans, sweet corn, squash, tomatoes, peppers, radishes, strawberries, watercress, sugar cane, and zucchini being affected.||A total of crop damage for the three December freeze events will be included in the event narratives for the late December freeze.",10
